model,scenario,image_path,compute_time_sec
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Dracaena reflexa Lam\IMG_20241125_114357.jpg,0.015532732009887695
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha wilkesiana Müll.Arg\IMG_20241123_091719.jpg,0.02406144142150879
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia iwahigensis Elmer\IMG_20241125_113243.jpg,0.012030839920043945
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia angustiloba Miq\IMG_20241109_150208.jpg,0.011764287948608398
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia iwahigensis Elmer\IMG_20241125_113125.jpg,0.021534204483032227
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Kalanchoe pinnata\IMG_20241019_123212.jpg,0.026075363159179688
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hibiscus rosa-sinensis L\IMG_20241125_120210.jpg,0.0037593841552734375
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Syzygium oleana\IMG_20241123_084844.jpg,0.009768486022949219
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ixora javanica\IMG_20241115_094254.jpg,0.017519712448120117
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia iwahigensis Elmer\IMG_20241125_113238.jpg,0.012023210525512695
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Agathis borneensis Warburg\IMG_20241019_133745.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Shorea laevis Ridl\IMG_20241125_111038.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Borassodendron borneensis J. Dransf\IMG_20241125_112000_1.jpg,0.02576279640197754
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Allamanda cathartica L\IMG_20241123_095722.jpg,0.013529777526855469
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica oblongifolia Hook.f\IMG_20241125_111653.jpg,0.011766433715820312
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Agathis borneensis Warburg\IMG_20241106_101348.jpg,0.01778388023376465
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Aloe vera (L.) Burm.f\IMG_20241113_105540.jpg,0.003753662109375
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mussaenda philippica\IMG_20241109_141038.jpg,0.015816211700439453
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Excoecaria cochinchinensis Lour\IMG_20241125_104247.jpg,0.013709068298339844
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia iwahigensis Elmer\IMG_20241106_101145.jpg,0.010531425476074219
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Pandanus amaryllifolius Roxb\IMG_20241019_140841.jpg,0.012039661407470703
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Shorea laevis Ridl\IMG_20241125_111052.jpg,0.01378321647644043
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia angustiloba Miq\IMG_20241123_094122.jpg,0.01203608512878418
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mangifera indica L\IMG_20241115_103425.jpg,0.013789176940917969
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hopea pedicellata (Brandis) Symington\IMG_20241125_085946.jpg,0.001750946044921875
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Shorea laevis Ridl\IMG_20241125_111018.jpg,0.02528238296508789
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Koompassia excelsa (Becc.) Taub\IMG_20241123_093842.jpg,0.011587858200073242
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hura crepitans L\IMG_20241123_084516.jpg,0.012031316757202148
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Saraca declinata Miq\IMG_20241106_094238.jpg,0.011767864227294922
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Kalanchoe pinnata\IMG_20241019_123209.jpg,0.005749940872192383
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Furcraea foetida (L.) Haw\IMG_20241113_100114.jpg,0.01563739776611328
